HCPCS,Description,Category,Modifier,Average Cost
A4357,Bedside drainage bag,"Ostomy, Tracheostomy & Urological Items",, $10.43 
A4358,Urinary leg or abdomen bag,"Ostomy, Tracheostomy & Urological Items",, $7.12 
A4360,Disposable ext urethral dev,"Ostomy, Tracheostomy & Urological Items",, $0.53 
A4361,Ostomy face plate,"Ostomy, Tracheostomy & Urological Items",, $20.01 
A4362,Solid skin barrier,"Ostomy, Tracheostomy & Urological Items",, $3.72 
A4363,"Ostomy clamp, replacement","Ostomy, Tracheostomy & Urological Items",, $2.49 
A4364,"Adhesive, liquid or equal","Ostomy, Tracheostomy & Urological Items",, $3.21 
A4366,Ostomy vent,"Ostomy, Tracheostomy & Urological Items",, $1.47 
A4367,Ostomy belt,"Ostomy, Tracheostomy & Urological Items",, $7.98 
A4368,Ostomy filter,"Ostomy, Tracheostomy & Urological Items",, $0.28 
A4369,Skin barrier liquid per oz,"Ostomy, Tracheostomy & Urological Items",, $2.60 
A4371,Skin barrier powder per oz,"Ostomy, Tracheostomy & Urological Items",, $4.10 
A4372,Skin barrier solid 4x4 equiv,"Ostomy, Tracheostomy & Urological Items",, $4.74 
A4373,Skin barrier with flange,"Ostomy, Tracheostomy & Urological Items",, $7.08 
A4375,Drainable plastic pch w fcpl,"Ostomy, Tracheostomy & Urological Items",, $19.40 
A4376,Drainable rubber pch w fcplt,"Ostomy, Tracheostomy & Urological Items",, $53.75 
A4377,Drainable plstic pch w/o fp,"Ostomy, Tracheostomy & Urological Items",, $4.85 
A4378,Drainable rubber pch w/o fp,"Ostomy, Tracheostomy & Urological Items",, $34.72 
A4379,Urinary plastic pouch w fcpl,"Ostomy, Tracheostomy & Urological Items",, $16.96 
A4380,Urinary rubber pouch w fcplt,"Ostomy, Tracheostomy & Urological Items",, $42.16 
A4381,Urinary plastic pouch w/o fp,"Ostomy, Tracheostomy & Urological Items",, $5.23 
A4382,Urinary hvy plstc pch w/o fp,"Ostomy, Tracheostomy & Urological Items",, $27.80 
A4383,Urinary rubber pouch w/o fp,"Ostomy, Tracheostomy & Urological Items",, $31.85 
A4384,Ostomy faceplt/silicone ring,"Ostomy, Tracheostomy & Urological Items",, $10.86 
A4385,Ost skn barrier sld ext wear,"Ostomy, Tracheostomy & Urological Items",, $5.76 
A4387,Ost clsd pouch w att st barr,"Ostomy, Tracheostomy & Urological Items",, $2.53 
A4388,Drainable pch w ex wear barr,"Ostomy, Tracheostomy & Urological Items",, $4.93 
A4389,Drainable pch w st wear barr,"Ostomy, Tracheostomy & Urological Items",, $7.02 
A4390,Drainable pch ex wear convex,"Ostomy, Tracheostomy & Urological Items",, $10.85 
A4391,Urinary pouch w ex wear barr,"Ostomy, Tracheostomy & Urological Items",, $7.99 
A4392,Urinary pouch w st wear barr,"Ostomy, Tracheostomy & Urological Items",, $9.24 
A4393,Urine pch w ex wear bar conv,"Ostomy, Tracheostomy & Urological Items",, $10.22 
A4394,Ostomy pouch liq deodorant,"Ostomy, Tracheostomy & Urological Items",, $2.92 
A4395,Ostomy pouch solid deodorant,"Ostomy, Tracheostomy & Urological Items",, $0.05 
A4396,Peristomal hernia supprt blt,"Ostomy, Tracheostomy & Urological Items",, $45.73 
A4397,Irrigation supply sleeve,"Ostomy, Tracheostomy & Urological Items",, $4.99 
A4398,Ostomy irrigation bag,"Ostomy, Tracheostomy & Urological Items",, $15.34 
A4399,Ostomy irrig cone/cath w brs,"Ostomy, Tracheostomy & Urological Items",, $13.16 
A4400,Ostomy irrigation set,"Ostomy, Tracheostomy & Urological Items",, $52.60 
A4402,Lubricant per ounce,"Ostomy, Tracheostomy & Urological Items",, $1.83 
A4404,Ostomy ring each,"Ostomy, Tracheostomy & Urological Items",, $1.82 
A4405,Nonpectin based ostomy paste,"Ostomy, Tracheostomy & Urological Items",, $3.85 
A4406,Pectin based ostomy paste,"Ostomy, Tracheostomy & Urological Items",, $6.46 
A4407,"Ext wear ost skn barr <=4sq""","Ostomy, Tracheostomy & Urological Items",, $9.90 
A4408,"Ext wear ost skn barr >4sq""","Ostomy, Tracheostomy & Urological Items",, $11.15 
A4409,Ost skn barr convex <=4 sq i,"Ostomy, Tracheostomy & Urological Items",, $7.03 
A4410,Ost skn barr extnd >4 sq,"Ostomy, Tracheostomy & Urological Items",, $10.22 
A4411,Ost skn barr extnd =4sq,"Ostomy, Tracheostomy & Urological Items",, $5.76 
A4412,Ost pouch drain high output,"Ostomy, Tracheostomy & Urological Items",, $3.05 
A4413,2 pc drainable ost pouch,"Ostomy, Tracheostomy & Urological Items",, $6.22 
A4414,Ost sknbar w/o conv<=4 sq in,"Ostomy, Tracheostomy & Urological Items",, $5.56 
A4415,Ost skn barr w/o conv >4 sqi,"Ostomy, Tracheostomy & Urological Items",, $6.77 
A4416,Ost pch clsd w barrier/filtr,"Ostomy, Tracheostomy & Urological Items",, $3.11 
A4417,Ost pch w bar/bltinconv/fltr,"Ostomy, Tracheostomy & Urological Items",, $4.20 
A4418,Ost pch clsd w/o bar w filtr,"Ostomy, Tracheostomy & Urological Items",, $2.04 
A4419,Ost pch for bar w flange/flt,"Ostomy, Tracheostomy & Urological Items",, $1.95 
A4420,Ost pch clsd for bar w lk fl,"Ostomy, Tracheostomy & Urological Items",,  $-   
A4422,Ost pouch absorbent material,"Ostomy, Tracheostomy & Urological Items",, $0.13 
A4423,Ost pch for bar w lk fl/fltr,"Ostomy, Tracheostomy & Urological Items",, $2.10 
A4424,Ost pch drain w bar & filter,"Ostomy, Tracheostomy & Urological Items",, $5.37 
A4425,Ost pch drain for barrier fl,"Ostomy, Tracheostomy & Urological Items",, $4.04 
A4426,Ost pch drain 2 piece system,"Ostomy, Tracheostomy & Urological Items",, $3.08 
A4427,Ost pch drain/barr lk flng/f,"Ostomy, Tracheostomy & Urological Items",, $3.14 
A4428,Urine ost pouch w faucet/tap,"Ostomy, Tracheostomy & Urological Items",, $7.34 
A4429,Urine ost pouch w bltinconv,"Ostomy, Tracheostomy & Urological Items",, $9.32 
A4430,Ost urine pch w b/bltin conv,"Ostomy, Tracheostomy & Urological Items",, $9.60 
A4431,Ost pch urine w barrier/tapv,"Ostomy, Tracheostomy & Urological Items",, $7.03 
A4432,Os pch urine w bar/fange/tap,"Ostomy, Tracheostomy & Urological Items",, $4.05 
A4433,Urine ost pch bar w lock fln,"Ostomy, Tracheostomy & Urological Items",, $3.78 
A4434,Ost pch urine w lock flng/ft,"Ostomy, Tracheostomy & Urological Items",, $4.24 
A4435,1pc ost pch drain hgh output,"Ostomy, Tracheostomy & Urological Items",, $6.52 
A4450,Non-waterproof tape,"Ostomy, Tracheostomy & Urological Items","Urological, ostomy or trach item ", $0.09 
A4452,Waterproof tape,"Ostomy, Tracheostomy & Urological Items","Urological, ostomy or trach item ", $0.40 
A4455,Adhesive remover per ounce,"Ostomy, Tracheostomy & Urological Items",, $1.54 
A4456,"Adhesive remover, wipes","Ostomy, Tracheostomy & Urological Items",, $0.27 
A4461,Surgicl dress hold non-reuse,Surgical Dressings ,, $3.73 
A4463,Surgical dress holder reuse,Surgical Dressings ,, $15.01 
A4481,Tracheostoma filter,"Ostomy, Tracheostomy & Urological Items",, $0.42 
A4483,Moisture exchanger,"Ostomy, Tracheostomy & Urological Items",,  $-   
A4556,"Electrodes, pair",Supplies ,, $12.61 
A4557,"Lead wires, pair",Supplies ,, $10.05 
A4558,Conductive gel or paste,Supplies ,, $5.75 
A4559,Coupling gel or paste,Supplies ,, $0.11 
A4561,"Pessary rubber, any type",Prosthetics & Orthotic,, $21.13 
A4562,"Pessary, non rubber,any type",Prosthetics & Orthotic,, $52.58 
A4565,Slings,Splints and Casts ,, $8.66 
A4595,Tens suppl 2 lead per month,Supplies ,, $10.04 
A4602,Replace lithium battery 1.5v,Inexpensive and Other Routinely Purchased Items ,Purchased New, $4.21 
A4604,Tubing with heating element,Inexpensive and Other Routinely Purchased Items ,Purchased New, $39.43 
A4605,Trach suction cath close sys,Inexpensive and Other Routinely Purchased Items ,Purchased New, $18.53 
A4608,Transtracheal oxygen cath,Oxygen and Oxygen Equipment,, $56.62 
A4614,Hand-held pefr meter,Inexpensive and Other Routinely Purchased Items ,, $26.86 
A4615,Cannula nasal,Supplies ,, $0.82 
A4616,Tubing (oxygen) per foot,Supplies ,, $0.07 
A4617,Mouth piece,Supplies ,, $3.50 
A4618,Breathing circuits,Inexpensive and Other Routinely Purchased Items ,Purchased New, $10.04 
A4619,Face tent,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.95 
A4620,Variable concentration mask,Supplies ,, $0.69 
A4623,Tracheostomy inner cannula,"Ostomy, Tracheostomy & Urological Items",, $6.70 
A4624,Tracheal suction tube,Inexpensive and Other Routinely Purchased Items ,Purchased New, $2.75 
A4625,Trach care kit for new trach,"Ostomy, Tracheostomy & Urological Items",, $8.15 
A4626,Tracheostomy cleaning brush,"Ostomy, Tracheostomy & Urological Items",, $3.30 
A4628,Oropharyngeal suction cath,Inexpensive and Other Routinely Purchased Items ,Purchased New, $4.17 
A4629,Tracheostomy care kit,"Ostomy, Tracheostomy & Urological Items",, $5.24 
A4630,Repl bat t.e.n.s. own by pt,Inexpensive and Other Routinely Purchased Items ,Purchased New, $6.55 
A4633,Uvl replacement bulb,Inexpensive and Other Routinely Purchased Items ,Purchased New, $46.35 
A4635,Underarm crutch pad,Inexpensive and Other Routinely Purchased Items ,Purchased New, $5.61 
A4636,Handgrip for cane etc,Inexpensive and Other Routinely Purchased Items ,Purchased New, $3.00 
A4637,Repl tip cane/crutch/walker,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.67 
A4638,Repl batt pulse gen sys,Inexpensive and Other Routinely Purchased Items ,Purchased New,  $-   
A4639,Infrared ht sys replcmnt pad,Capped Rental Items ,Rented, $32.45 
A4640,Alternating pressure pad,Inexpensive and Other Routinely Purchased Items ,Purchased New, $51.97 
A5051,Pouch clsd w barr attached,"Ostomy, Tracheostomy & Urological Items",, $2.34 
A5052,Clsd ostomy pouch w/o barr,"Ostomy, Tracheostomy & Urological Items",, $1.68 
A5053,Clsd ostomy pouch faceplate,"Ostomy, Tracheostomy & Urological Items",, $1.84 
A5054,Clsd ostomy pouch w/flange,"Ostomy, Tracheostomy & Urological Items",, $2.03 
A5055,Stoma cap,"Ostomy, Tracheostomy & Urological Items",, $1.59 
A5056,1 pc ost pouch w filter,"Ostomy, Tracheostomy & Urological Items",, $5.27 
A5057,1 pc ost pou w built-in conv,"Ostomy, Tracheostomy & Urological Items",, $10.85 
A5061,Pouch drainable w barrier at,"Ostomy, Tracheostomy & Urological Items",, $3.98 
A5062,Drnble ostomy pouch w/o barr,"Ostomy, Tracheostomy & Urological Items",, $2.45 
A5063,Drain ostomy pouch w/flange,"Ostomy, Tracheostomy & Urological Items",, $3.05 
A5071,Urinary pouch w/barrier,"Ostomy, Tracheostomy & Urological Items",, $6.79 
A5072,Urinary pouch w/o barrier,"Ostomy, Tracheostomy & Urological Items",, $3.85 
A5073,Urinary pouch on barr w/flng,"Ostomy, Tracheostomy & Urological Items",, $3.53 
A5081,"Stoma plug or seal, any type","Ostomy, Tracheostomy & Urological Items",, $3.47 
A5082,Continent stoma catheter,"Ostomy, Tracheostomy & Urological Items",, $12.41 
A5083,Stoma absorptive cover,"Ostomy, Tracheostomy & Urological Items",, $0.72 
A5093,Ostomy accessory convex inse,"Ostomy, Tracheostomy & Urological Items",, $2.11 
A5102,Bedside drain btl w/wo tube,"Ostomy, Tracheostomy & Urological Items",, $25.31 
A5105,Urinary suspensory,"Ostomy, Tracheostomy & Urological Items",, $44.31 
A5112,Urinary leg bag,"Ostomy, Tracheostomy & Urological Items",, $37.62 
A5113,Latex leg strap,"Ostomy, Tracheostomy & Urological Items",, $4.97 
A5114,Foam/fabric leg strap,"Ostomy, Tracheostomy & Urological Items",, $9.77 
A5120,"Skin barrier, wipe or swab","Ostomy, Tracheostomy & Urological Items","Urological, ostomy or trach item ", $0.26 
A5121,Solid skin barrier 6x6,"Ostomy, Tracheostomy & Urological Items",, $8.01 
A5122,Solid skin barrier 8x8,"Ostomy, Tracheostomy & Urological Items",, $13.81 
A5126,Disk/foam pad +or- adhesive,"Ostomy, Tracheostomy & Urological Items",, $1.40 
A5131,Appliance cleaner,"Ostomy, Tracheostomy & Urological Items",, $17.59 
A5200,Percutaneous catheter anchor,"Ostomy, Tracheostomy & Urological Items",, $12.77 
A5500,Diab shoe for density insert,TS,, $71.56 
A5501,Diabetic custom molded shoe,TS,, $214.65 
A5503,Diabetic shoe w/roller/rockr,TS,, $35.27 
A5504,Diabetic shoe with wedge,TS,, $35.27 
A5505,Diab shoe w/metatarsal bar,TS,, $35.27 
A5506,Diabetic shoe w/off set heel,TS,, $35.27 
A5507,Modification diabetic shoe,TS,, $35.27 
A5512,Multi den insert direct form,TS,, $29.19 
A5513,Multi den insert custom mold,TS,, $43.56 
A6010,Collagen based wound filler,Surgical Dressings ,, $34.99 
A6011,Collagen gel/paste wound fil,Surgical Dressings ,, $2.58 
A6021,Collagen dressing <=16 sq in,Surgical Dressings ,, $23.75 
A6022,Collagen drsg>16<=48 sq in,Surgical Dressings ,, $23.75 
A6023,Collagen dressing >48 sq in,Surgical Dressings ,, $215.00 
A6024,Collagen dsg wound filler,Surgical Dressings ,, $7.00 
A6154,Wound pouch each,Surgical Dressings ,, $16.16 
A6196,Alginate dressing <=16 sq in,Surgical Dressings ,, $8.32 
A6197,Alginate drsg >16 <=48 sq in,Surgical Dressings ,, $18.60 
A6199,Alginate drsg wound filler,Surgical Dressings ,, $5.98 
A6203,Composite drsg <= 16 sq in,Surgical Dressings ,, $3.82 
A6204,Composite drsg >16<=48 sq in,Surgical Dressings ,, $7.07 
A6207,Contact layer >16<= 48 sq in,Surgical Dressings ,, $8.31 
A6209,Foam drsg <=16 sq in w/o bdr,Surgical Dressings ,, $8.46 
A6210,Foam drg >16<=48 sq in w/o b,Surgical Dressings ,, $22.54 
A6211,Foam drg > 48 sq in w/o brdr,Surgical Dressings ,, $33.24 
A6212,Foam drg <=16 sq in w/border,Surgical Dressings ,, $10.99 
A6214,Foam drg > 48 sq in w/border,Surgical Dressings ,, $11.64 
A6216,Non-sterile gauze<=16 sq in,Surgical Dressings ,, $0.05 
A6217,Non-sterile gauze>16<=48 sq,Surgical Dressings ,,  $-   
A6219,Gauze <= 16 sq in w/border,Surgical Dressings ,, $1.09 
A6220,Gauze >16 <=48 sq in w/bordr,Surgical Dressings ,, $2.92 
A6222,Gauze <=16 in no w/sal w/o b,Surgical Dressings ,, $2.41 
A6223,Gauze >16<=48 no w/sal w/o b,Surgical Dressings ,, $2.74 
A6224,Gauze > 48 in no w/sal w/o b,Surgical Dressings ,, $4.08 
A6229,Gauze >16<=48 sq in watr/sal,Surgical Dressings ,, $4.08 
A6231,Hydrogel dsg<=16 sq in,Surgical Dressings ,, $5.29 
A6232,Hydrogel dsg>16<=48 sq in,Surgical Dressings ,, $7.75 
A6233,Hydrogel dressing >48 sq in,Surgical Dressings ,, $21.66 
A6234,Hydrocolld drg <=16 w/o bdr,Surgical Dressings ,, $7.40 
A6235,Hydrocolld drg >16<=48 w/o b,Surgical Dressings ,, $19.04 
A6236,Hydrocolld drg > 48 in w/o b,Surgical Dressings ,, $30.84 
A6237,Hydrocolld drg <=16 in w/bdr,Surgical Dressings ,, $8.96 
A6238,Hydrocolld drg >16<=48 w/bdr,Surgical Dressings ,, $25.80 
A6240,Hydrocolld drg filler paste,Surgical Dressings ,, $13.86 
A6241,Hydrocolloid drg filler dry,Surgical Dressings ,, $2.90 
A6242,Hydrogel drg <=16 in w/o bdr,Surgical Dressings ,, $6.86 
A6243,Hydrogel drg >16<=48 w/o bdr,Surgical Dressings ,, $13.94 
A6244,Hydrogel drg >48 in w/o bdr,Surgical Dressings ,, $44.45 
A6245,Hydrogel drg <= 16 in w/bdr,Surgical Dressings ,, $8.22 
A6246,Hydrogel drg >16<=48 in w/b,Surgical Dressings ,, $11.24 
A6247,Hydrogel drg > 48 sq in w/b,Surgical Dressings ,, $26.91 
A6248,Hydrogel drsg gel filler,Surgical Dressings ,, $18.39 
A6251,Absorpt drg <=16 sq in w/o b,Surgical Dressings ,, $2.25 
A6252,Absorpt drg >16 <=48 w/o bdr,Surgical Dressings ,, $3.72 
A6253,Absorpt drg > 48 sq in w/o b,Surgical Dressings ,, $7.23 
A6254,Absorpt drg <=16 sq in w/bdr,Surgical Dressings ,, $1.36 
A6255,Absorpt drg >16<=48 in w/bdr,Surgical Dressings ,, $3.44 
A6257,Transparent film <= 16 sq in,Surgical Dressings ,, $1.74 
A6258,Transparent film >16<=48 in,Surgical Dressings ,, $4.88 
A6259,Transparent film > 48 sq in,Surgical Dressings ,, $12.38 
A6266,Impreg gauze no h20/sal/yard,Surgical Dressings ,, $2.17 
A6402,Sterile gauze <= 16 sq in,Surgical Dressings ,, $0.13 
A6403,Sterile gauze>16 <= 48 sq in,Surgical Dressings ,, $0.48 
A6407,"Packing strips, non-impreg",Surgical Dressings ,, $2.12 
A6410,Sterile eye pad,Surgical Dressings ,, $0.43 
A6411,Non-sterile eye pad,Surgical Dressings ,,  $-   
A6441,"Pad band w>=3"" <5""/yd",Surgical Dressings ,, $0.77 
A6442,"Conform band n/s w<3""/yd",Surgical Dressings ,, $0.18 
A6443,"Conform band n/s w>=3""<5""/yd",Surgical Dressings ,, $0.31 
A6444,"Conform band n/s w>=5""/yd",Surgical Dressings ,, $0.63 
A6445,"Conform band s w <3""/yd",Surgical Dressings ,, $0.36 
A6446,"Conform band s w>=3"" <5""/yd",Surgical Dressings ,, $0.45 
A6447,"Conform band s w >=5""/yd",Surgical Dressings ,, $0.77 
A6448,"Lt compres band <3""/yd",Surgical Dressings ,, $1.31 
A6449,"Lt compres band >=3"" <5""/yd",Surgical Dressings ,, $1.98 
A6450,"Lt compres band >=5""/yd",Surgical Dressings ,, $1.98 
A6451,"Mod compres band w>=3""<5""/yd",Surgical Dressings ,, $1.98 
A6452,"High compres band w>=3""<5""yd",Surgical Dressings ,, $6.68 
A6453,"Self-adher band w <3""/yd",Surgical Dressings ,, $0.70 
A6454,"Self-adher band w>=3"" <5""/yd",Surgical Dressings ,, $0.88 
A6455,"Self-adher band >=5""/yd",Surgical Dressings ,, $1.58 
A6456,"Zinc paste band w >=3""<5""/yd",Surgical Dressings ,, $1.44 
A6457,Tubular dressing,Surgical Dressings ,, $1.29 
A6501,Compres burngarment bodysuit,Surgical Dressings ,,  $-   
A6502,Compres burngarment chinstrp,Surgical Dressings ,,  $-   
A6503,Compres burngarment facehood,Surgical Dressings ,,  $-   
A6504,Cmprsburngarment glove-wrist,Surgical Dressings ,,  $-   
A6505,Cmprsburngarment glove-elbow,Surgical Dressings ,,  $-   
A6506,Cmprsburngrmnt glove-axilla,Surgical Dressings ,,  $-   
A6507,Cmprs burngarment foot-knee,Surgical Dressings ,,  $-   
A6508,Cmprs burngarment foot-thigh,Surgical Dressings ,,  $-   
A6509,Compres burn garment jacket,Surgical Dressings ,,  $-   
A6510,Compres burn garment leotard,Surgical Dressings ,,  $-   
A6511,Compres burn garment panty,Surgical Dressings ,,  $-   
A6513,Compress burn mask face/neck,Surgical Dressings ,,  $-   
A6531,Compression stocking bk30-40,Surgical Dressings ,Item with a surgical dressing Equipment , $48.87 
A6532,Compression stocking bk40-50,Surgical Dressings ,Item with a surgical dressing Equipment , $68.87 
A6545,Grad comp non-elastic bk,Surgical Dressings ,,  $-   
A6550,Neg pres wound ther drsg set,Supplies ,, $24.78 
A7000,Disposable canister for pump,Inexpensive and Other Routinely Purchased Items ,Purchased New, $8.13 
A7001,Nondisposable pump canister,Inexpensive and Other Routinely Purchased Items ,Purchased New, $35.41 
A7002,Tubing used w suction pump,Inexpensive and Other Routinely Purchased Items ,Purchased New, $4.04 
A7003,Nebulizer administration set,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.49 
A7004,Disposable nebulizer sml vol,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.23 
A7005,Nondisposable nebulizer set,Inexpensive and Other Routinely Purchased Items ,Purchased New, $11.59 
A7006,Filtered nebulizer admin set,Inexpensive and Other Routinely Purchased Items ,Purchased New, $7.10 
A7007,Lg vol nebulizer disposable,Inexpensive and Other Routinely Purchased Items ,Purchased New, $3.13 
A7008,Disposable nebulizer prefill,Inexpensive and Other Routinely Purchased Items ,Purchased New, $11.90 
A7009,Nebulizer reservoir bottle,Inexpensive and Other Routinely Purchased Items ,Purchased New, $46.20 
A7010,Disposable corrugated tubing,Inexpensive and Other Routinely Purchased Items ,Purchased New, $15.12 
A7012,Nebulizer water collec devic,Inexpensive and Other Routinely Purchased Items ,Purchased New, $2.76 
A7013,Disposable compressor filter,Inexpensive and Other Routinely Purchased Items ,Purchased New, $0.55 
A7014,Compressor nondispos filter,Inexpensive and Other Routinely Purchased Items ,Purchased New, $3.20 
A7015,Aerosol mask used w nebulize,Inexpensive and Other Routinely Purchased Items ,Purchased New, $1.24 
A7016,Nebulizer dome & mouthpiece,Inexpensive and Other Routinely Purchased Items ,Purchased New, $8.11 
A7017,Nebulizer not used w oxygen,Inexpensive and Other Routinely Purchased Items ,Purchased New, $114.38 
A7018,Water distilled w/nebulizer,Supplies ,, $0.32 
A7020,"Interface, cough stim device",Inexpensive and Other Routinely Purchased Items ,Purchased New, $16.09 
A7025,Replace chest compress vest,Capped Rental Items ,Rented, $49.15 
A7026,Replace chst cmprss sys hose,Inexpensive and Other Routinely Purchased Items ,Purchased New, $32.47 
A7027,Combination oral/nasal mask,Inexpensive and Other Routinely Purchased Items ,Purchased New, $118.21 
A7028,Repl oral cushion combo mask,Inexpensive and Other Routinely Purchased Items ,Purchased New, $33.24 
A7029,Repl nasal pillow comb mask,Inexpensive and Other Routinely Purchased Items ,Purchased New, $15.22 
A7030,Cpap full face mask,Inexpensive and Other Routinely Purchased Items ,Purchased New, $88.02 
A7031,Replacement facemask interfa,Inexpensive and Other Routinely Purchased Items ,Purchased New, $33.46 
A7032,Replacement nasal cushion,Inexpensive and Other Routinely Purchased Items ,Purchased New, $18.71 
A7033,Replacement nasal pillows,Inexpensive and Other Routinely Purchased Items ,Purchased New, $15.35 
A7034,Nasal application device,Inexpensive and Other Routinely Purchased Items ,Purchased New, $55.07 
A7035,Pos airway press headgear,Inexpensive and Other Routinely Purchased Items ,Purchased New, $18.21 
A7036,Pos airway press chinstrap,Inexpensive and Other Routinely Purchased Items ,Purchased New, $10.46 
A7037,Pos airway pressure tubing,Inexpensive and Other Routinely Purchased Items ,Purchased New, $11.77 
A7038,Pos airway pressure filter,Inexpensive and Other Routinely Purchased Items ,Purchased New, $2.07 
A7039,"Filter, non disposable w pap",Inexpensive and Other Routinely Purchased Items ,Purchased New, $5.99 
A7040,One way chest drain valve,Prosthetics & Orthotic,, $41.79 
A7041,Water seal drain container,Prosthetics & Orthotic,, $78.53 
A7044,Pap oral interface,Inexpensive and Other Routinely Purchased Items ,Purchased New, $82.08 
A7045,Repl exhalation port for pap,Inexpensive and Other Routinely Purchased Items ,Purchased New, $11.90 
A7046,"Repl water chamber, pap dev",Inexpensive and Other Routinely Purchased Items ,Purchased New, $13.17 
A7047,Resp suction oral interface,Inexpensive and Other Routinely Purchased Items ,Purchased New, $136.59 
A7048,Vacuum drain bottle/tube kit,Prosthetics & Orthotic,, $47.39 
A7501,Tracheostoma valve w diaphra,"Ostomy, Tracheostomy & Urological Items",, $118.65 
A7502,Replacement diaphragm/fplate,"Ostomy, Tracheostomy & Urological Items",, $56.40 
A7503,Hmes filter holder or cap,"Ostomy, Tracheostomy & Urological Items",, $12.82 
A7504,Tracheostoma hmes filter,"Ostomy, Tracheostomy & Urological Items",, $0.77 
A7505,Hmes or trach valve housing,"Ostomy, Tracheostomy & Urological Items",, $5.30 
A7506,Hmes/trachvalve adhesivedisk,"Ostomy, Tracheostomy & Urological Items",, $0.37 
