NDC Description,NDC, NADAC_Per_Unit ,Effective_Date,Pricing_Unit,OTC,Brand/Generic,As of Date,High Cost
ADAPALENE 0.1% CREAM,45802045384, $3.47 ,5/17/17,GM,N,G,6/7/17,Low
ADAPALENE 0.1% GEL,51672415506, $2.21 ,5/17/17,GM,N,G,6/7/17,Low
ADAPALENE 0.3% GEL,781714219, $3.70 ,5/17/17,GM,N,G,6/7/17,Low
ADAPALENE 0.3% GEL PUMP,66993088448, $4.46 ,3/22/17,GM,N,G,6/7/17,Low
ADCIRCA 20 MG TABLET,66302046760, $58.57 ,5/17/17,EA,N,B,6/7/17,High
ADDERALL 10 MG TABLET,57844011001, $5.66 ,2/22/17,EA,N,B-ANDA,6/7/17,High
ADDERALL 20 MG TABLET,57844012001, $5.64 ,4/19/17,EA,N,B-ANDA,6/7/17,High
ADDERALL 30 MG TABLET,57844013001, $5.62 ,1/1/17,EA,N,B-ANDA,6/7/17,High
ADDERALL XR 10 MG CAPSULE,54092038301, $6.85 ,1/18/17,EA,N,B,6/7/17,High
ADDERALL XR 15 MG CAPSULE,54092038501, $6.85 ,1/18/17,EA,N,B,6/7/17,High
ADDERALL XR 20 MG CAPSULE,54092038701, $6.87 ,1/18/17,EA,N,B,6/7/17,High
ADDERALL XR 25 MG CAPSULE,54092038901, $6.87 ,1/18/17,EA,N,B,6/7/17,High
ADDERALL XR 30 MG CAPSULE,54092039101, $6.84 ,1/18/17,EA,N,B,6/7/17,High
ADDERALL XR 5 MG CAPSULE,54092038101, $6.86 ,1/18/17,EA,N,B,6/7/17,High
ADEFOVIR DIPIVOXIL 10 MG TAB,42794000308, $24.21 ,5/17/17,EA,N,G,6/7/17,High
ADIPEX-P 37.5 MG TABLET,57844000901, $2.00 ,2/22/17,EA,N,B-ANDA,6/7/17,Low
ADVAIR 100-50 DISKUS,173069504, $9.52 ,1/1/17,EA,N,B,6/7/17,High
ADVAIR 100-50 DISKUS,173069500, $4.66 ,2/22/17,EA,N,B,6/7/17,Low
ADVAIR 250-50 DISKUS,173069604, $9.56 ,1/1/17,EA,N,B,6/7/17,High
ADVAIR 500-50 DISKUS,173069704, $15.52 ,1/1/17,EA,N,B,6/7/17,High
ADVAIR HFA 115-21 MCG INHALER,173071620, $28.91 ,2/22/17,GM,N,B,6/7/17,High
ADVAIR HFA 230-21 MCG INHALER,173071720, $38.04 ,2/22/17,GM,N,B,6/7/17,High
ADVAIR HFA 45-21 MCG INHALER,173071522, $23.99 ,1/1/17,GM,N,B,6/7/17,High
ADVANCED ANTACID LIQUID,113085140, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
ADVANCED FORMULA EYE DROPS,37205022405, $0.10 ,5/17/17,ML,Y,G,6/7/17,Low
ADZENYS XR-ODT 12.5 MG TABLET,70165002030, $9.38 ,2/22/17,EA,N,B,6/7/17,High
ADZENYS XR-ODT 15.7 MG TABLET,70165002530, $9.43 ,5/17/17,EA,N,B,6/7/17,High
ADZENYS XR-ODT 18.8 MG TABLET,70165003030, $9.33 ,3/22/17,EA,N,B,6/7/17,High
ADZENYS XR-ODT 6.3 MG TABLET,70165001030, $9.44 ,1/1/17,EA,N,B,6/7/17,High
ADZENYS XR-ODT 9.4 MG TABLET,70165001530, $9.45 ,1/18/17,EA,N,B,6/7/17,High
AEROSPAN 80 MCG INHALER,37759012, $21.11 ,3/22/17,GM,N,B,6/7/17,High
AFEDITAB CR 30 MG TABLET,591319301, $0.32 ,5/17/17,EA,N,G,6/7/17,Low
AFEDITAB CR 60 MG TABLET,591319401, $0.46 ,5/17/17,EA,N,G,6/7/17,Low
AFTERA 1.5 MG TABLET,51285010388, $20.94 ,5/17/17,EA,Y,G,6/7/17,High
AGGRENOX 25 MG-200 MG CAPSULE,597000160, $7.88 ,2/22/17,EA,N,B,6/7/17,High
AK-POLY-BAC EYE OINTMENT,17478023835, $2.92 ,5/17/17,GM,N,G,6/7/17,Low
ALA-HIST IR 2 MG TABLET,50991078360, $0.61 ,5/17/17,EA,Y,G,6/7/17,Low
ALA-HIST PE TABLET,50991078260, $0.62 ,5/17/17,EA,Y,G,6/7/17,Low
ALAWAY 0.025% EYE DROPS,24208060110, $0.87 ,3/22/17,ML,Y,B,6/7/17,Low
ALBENZA 200 MG TABLET,52054055028, $175.41 ,5/17/17,EA,N,B,6/7/17,High
ALBUTEROL 2.5 MG/0.5 ML SOL,487990130, $0.35 ,3/22/17,EA,N,G,6/7/17,Low
ALBUTEROL 5 MG/ML SOLUTION,50383074120, $1.33 ,5/17/17,ML,N,G,6/7/17,Low
ALBUTEROL SUL 0.63 MG/3 ML SOL,487030101, $0.32 ,5/17/17,ML,N,G,6/7/17,Low
ALBUTEROL SUL 1.25 MG/3 ML SOL,487990401, $0.26 ,5/17/17,ML,N,G,6/7/17,Low
ALBUTEROL SUL 2.5 MG/3 ML SOLN,378827093, $0.04 ,5/17/17,ML,N,G,6/7/17,Low
ALBUTEROL SULF 2 MG/5 ML SYRUP,50383074016, $0.03 ,5/17/17,ML,N,G,6/7/17,Low
ALBUTEROL SULFATE 2 MG TAB,51079065701, $3.94 ,5/17/17,EA,N,G,6/7/17,Low
ALBUTEROL SULFATE 4 MG TAB,53489017701, $3.52 ,5/17/17,EA,N,G,6/7/17,Low
ALBUTEROL SULFATE ER 4 MG TAB,378412201, $1.32 ,4/19/17,EA,N,G,6/7/17,Low
ALBUTEROL SULFATE ER 8 MG TAB,378412401, $2.23 ,8/17/16,EA,N,G,6/7/17,Low
ALCLOMETASONE DIPR 0.05% OINT,168026445, $1.72 ,6/22/16,GM,N,G,6/7/17,Low
ALCLOMETASONE DIPRO 0.05% CRM,51672130601, $1.97 ,5/17/17,GM,N,G,6/7/17,Low
ALDACTAZIDE 25-25 TABLET,25101131, $2.33 ,6/1/17,EA,N,B,6/7/17,Low
ALDACTAZIDE 50-50 TABLET,25102131, $4.32 ,6/1/17,EA,N,B,6/7/17,Low
ALDACTONE 25 MG TABLET,25100131, $2.26 ,6/1/17,EA,N,B,6/7/17,Low
ALDARA 5% CREAM,99207026012, $74.99 ,8/17/16,EA,N,B,6/7/17,High
ALENDRONATE SODIUM 10 MG TAB,51079094101, $0.16 ,5/17/17,EA,N,G,6/7/17,Low
ALENDRONATE SODIUM 35 MG TAB,16714063202, $0.54 ,5/17/17,EA,N,G,6/7/17,Low
ALENDRONATE SODIUM 5 MG TABLET,93514056, $0.15 ,3/22/17,EA,N,G,6/7/17,Low
ALENDRONATE SODIUM 70 MG TAB,59746024402, $0.35 ,5/17/17,EA,N,G,6/7/17,Low
ALERTNESS AID 200 MG TABLET,37205019573, $0.08 ,5/17/17,EA,Y,G,6/7/17,Low
ALFUZOSIN HCL ER 10 MG TABLET,60505285001, $0.17 ,5/17/17,EA,N,G,6/7/17,Low
ALINIA 100 MG/5 ML SUSPENSION,27437010601, $8.46 ,2/22/17,ML,N,B,6/7/17,High
ALINIA 500 MG TABLET,67546011114, $76.76 ,3/29/17,EA,N,B,6/7/17,High
ALL DAY ALLERGY 10 MG TABLET,24385099874, $0.07 ,5/17/17,EA,Y,G,6/7/17,Low
ALL DAY ALLERGY-D TABLET,24385017553, $0.65 ,5/17/17,EA,Y,G,6/7/17,Low
ALL DAY PAIN RELIEF 220 MG TAB,36800049078, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ALL DAY PAIN RLF 220 MG CAPLET,113036878, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ALL DAY RELIEF 220 MG CAPLET,536109306, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ALL DAY RELIEF 220 MG TABLET,536109401, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ALLER-CHLOR 2 MG/5 ML SYRUP,536102547, $0.03 ,6/22/16,ML,Y,G,6/7/17,Low
ALLER-CHLOR 4 MG TABLET,536100610, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
ALLER-EASE 180 MG TABLET,37205065088, $0.34 ,5/17/17,EA,Y,G,6/7/17,Low
ALLER-EASE 30 MG/5 ML SUSP,70000010001, $0.05 ,5/17/17,ML,Y,G,6/7/17,Low
ALLER-EASE 60 MG TABLET,113042553, $0.33 ,5/17/17,EA,Y,G,6/7/17,Low
ALLER-G-TIME 25 MG CAPLET,49483006101, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY 10 MG TABLET,904572889, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY 25 MG CAPSULE,36800046262, $0.03 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY 25 MG TABLET,37205074378, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY 4 MG TABLET,904001259, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY D-12 TABLET,37205082762, $0.65 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY MULTI-SYMPTOM CAPLET,113047662, $0.08 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY PLUS-SINUS HA CAPLET,46122005262, $0.08 ,10/19/16,EA,Y,G,6/7/17,Low
ALLERGY RELIEF 10 MG TABLET,36800061246, $0.06 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY RELIEF 180 MG TABLET,46122004061, $0.34 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY RELIEF 25 MG CAPSULE,113046262, $0.03 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY RELIEF 25 MG TABLET,113047978, $0.04 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY RELIEF 5 MG/5 ML SOLN,24385053126, $0.04 ,5/17/17,ML,Y,G,6/7/17,Low
ALLERGY RELIEF 50 MCG SPRAY,70000011001, $0.87 ,5/17/17,ML,Y,G,6/7/17,Low
ALLERGY RELIEF D-24 TABLET,37205034852, $0.42 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY RELIEF ER 12 MG TABLET,37205011762, $0.26 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY RELIEF SYRUP,37205037826, $0.04 ,5/17/17,ML,Y,G,6/7/17,Low
ALLERGY RELIEF-NASAL DECONG TB,51660072415, $0.42 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY-CONGES RELF ER TABLET,46122016752, $0.42 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY-CONGESTION RLF 12H TAB,113201360, $0.76 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERGY-TIME 4 MG TABLET,49483024210, $0.02 ,5/17/17,EA,Y,G,6/7/17,Low
ALLERHIST-1 1.34 MG TABLET,37205022873, $0.27 ,5/17/17,EA,Y,G,6/7/17,Low
ALLFEN DM TABLET,58605040101, $0.08 ,5/17/17,EA,Y,G,6/7/17,Low
ALLI 60 MG CAPSULE,135046105, $0.46 ,4/19/17,EA,Y,B,6/7/17,Low
ALL-NITE COLD-FLU RELIEF LIQ,904577709, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
ALLOPURINOL 100 MG TABLET,50742013510, $0.13 ,5/31/17,EA,N,G,6/7/17,Low
ALLOPURINOL 300 MG TABLET,16729013516, $0.24 ,5/17/17,EA,N,G,6/7/17,Low
ALMACONE CHEWABLE TABLET,536101101, $0.03 ,5/17/17,EA,Y,G,6/7/17,Low
ALMACONE LIQUID,536002583, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
ALMACONE-2 LIQUID,536001583, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
ALMOTRIPTAN MALATE 12.5 MG TAB,93526129, $26.67 ,5/17/17,EA,N,G,6/7/17,High
ALMOTRIPTAN MALATE 6.25 MG TAB,378524585, $31.16 ,10/19/16,EA,N,G,6/7/17,High
ALOCRIL 2% EYE DROPS,23884205, $38.16 ,1/1/17,ML,N,B,6/7/17,High
ALOE VERA-LIDOCAINE GEL,24385008334, $0.01 ,9/21/16,GM,Y,G,6/7/17,Low
ALOE VESTA 43% PROTECTIVE OINT,43553324908, $0.04 ,9/21/16,GM,Y,G,6/7/17,Low
ALOGLIPTIN 12.5 MG TABLET,45802010365, $6.09 ,4/19/17,EA,N,G,6/7/17,High
ALOGLIPTIN 25 MG TABLET,45802015065, $5.67 ,5/17/17,EA,N,G,6/7/17,High
ALOGLIPTIN 6.25 MG TABLET,45802008765, $5.61 ,4/19/17,EA,N,G,6/7/17,High
ALOGLIPTIN-METFORMIN 12.5-1000,45802021172, $2.71 ,5/17/17,EA,N,G,6/7/17,Low
ALOGLIPTIN-METFORMIN 12.5-500,45802016972, $3.00 ,4/19/17,EA,N,G,6/7/17,Low
ALOGLIPTIN-PIOGLIT 25-15 MG TB,45802035165, $6.44 ,11/23/16,EA,N,G,6/7/17,High
ALOGLIPTIN-PIOGLIT 25-30 MG TB,45802040265, $6.48 ,12/21/16,EA,N,G,6/7/17,High
ALOMIDE 0.1% EYE DROPS,65034510, $15.73 ,1/4/17,ML,N,B,6/7/17,High
ALORA 0.025 MG PATCH,52544088454, $10.98 ,1/1/17,EA,N,B,6/7/17,High
ALORA 0.05 MG PATCH,52544047154, $12.51 ,2/22/17,EA,N,B,6/7/17,High
ALORA 0.075 MG PATCH,52544047208, $12.72 ,1/1/17,EA,N,B,6/7/17,High
ALORA 0.1 MG PATCH,52544047354, $12.97 ,2/22/17,EA,N,B,6/7/17,High
ALOSETRON HCL 0.5 MG TABLET,65162024803, $17.57 ,5/17/17,EA,N,G,6/7/17,High
ALOSETRON HCL 1 MG TABLET,65162024903, $32.90 ,3/15/17,EA,N,G,6/7/17,High
ALPHAGAN P 0.1% DROPS,23932105, $25.67 ,2/22/17,ML,N,B,6/7/17,High
ALPHAGAN P 0.15% EYE DROPS,23917715, $27.78 ,1/1/17,ML,N,B,6/7/17,High
ALPRAZOLAM 0.25 MG TABLET,69452011030, $0.02 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM 0.5 MG TABLET,64376063101, $0.02 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM 1 MG TABLET,228203196, $0.02 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM 2 MG TABLET,781108905, $0.06 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM ER 0.5 MG TABLET,378502191, $0.30 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM ER 1 MG TABLET,228308406, $0.40 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM ER 2 MG TABLET,93545206, $0.50 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM ER 3 MG TABLET,93545306, $0.76 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM ODT 0.5 MG TAB,228402211, $1.25 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM ODT 1 MG TAB,49884021374, $1.75 ,10/19/16,EA,N,G,6/7/17,Low
ALPRAZOLAM XR 0.5 MG TABLET,59762005701, $0.30 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM XR 1 MG TABLET,59762005901, $0.40 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM XR 2 MG TABLET,59762006601, $0.50 ,5/17/17,EA,N,G,6/7/17,Low
ALPRAZOLAM XR 3 MG TABLET,59762006801, $0.76 ,5/17/17,EA,N,G,6/7/17,Low
ALREX 0.2% EYE DROPS,24208035305, $37.42 ,2/22/17,ML,N,B,6/7/17,High
ALTACE 10 MG CAPSULE,61570012001, $6.43 ,6/1/17,EA,N,B,6/7/17,High
ALTACE 2.5 MG CAPSULE,61570011101, $5.25 ,6/1/17,EA,N,B,6/7/17,High
ALTACE 5 MG CAPSULE,61570011201, $5.56 ,6/1/17,EA,N,B,6/7/17,High
ALTAVERA-28 TABLET,781558315, $0.47 ,5/17/17,EA,N,G,6/7/17,Low
ALTOPREV 60 MG TABLET,70515063030, $25.20 ,5/4/17,EA,N,B,6/7/17,High
ALUMINUM HYDROXIDE GEL,536009185, $0.01 ,5/17/17,ML,Y,G,6/7/17,Low
ALVESCO 160 MCG INHALER,63402071201, $36.12 ,3/22/17,GM,N,B,6/7/17,High
ALVESCO 80 MCG INHALER,63402071101, $35.99 ,2/22/17,GM,N,B,6/7/17,High
ALYACEN 1-35-28 TABLET,68462039429, $0.41 ,5/17/17,EA,N,G,6/7/17,Low
ALYACEN 7-7-7-28 TABLET,68462055684, $0.60 ,5/17/17,EA,N,G,6/7/17,Low
AMABELZ 0.5 MG-0.1 MG TABLET,68180082913, $2.89 ,5/17/17,EA,N,G,6/7/17,Low
AMABELZ 1 MG-0.5 MG TABLET,68180083013, $2.92 ,5/17/17,EA,N,G,6/7/17,Low
AMANTADINE 100 MG CAPSULE,68382051201, $1.03 ,5/17/17,EA,N,G,6/7/17,Low
AMANTADINE 100 MG TABLET,832011150, $1.50 ,5/17/17,EA,N,G,6/7/17,Low
AMANTADINE 50 MG/5 ML SOLUTION,60432009316, $0.02 ,5/17/17,ML,N,G,6/7/17,Low
AMBIEN 10 MG TABLET,24542131, $16.25 ,5/17/17,EA,N,B,6/7/17,High
AMBIEN CR 12.5 MG TABLET,24552131, $16.10 ,4/7/17,EA,N,B,6/7/17,High
AMERGE 2.5 MG TABLET,173056200, $54.26 ,1/1/17,EA,N,B,6/7/17,High
AMETHIA 0.15-0.03-0.01 MG TAB,52544026884, $1.48 ,5/17/17,EA,N,G,6/7/17,Low
AMETHIA LO TABLET,52544022829, $1.50 ,5/17/17,EA,N,G,6/7/17,Low
AMETHYST 90-20 MCG TABLET,52544029528, $1.36 ,5/17/17,EA,N,G,6/7/17,Low
AMICAR 500 MG TABLET,49411005030, $18.89 ,3/22/17,EA,N,B,6/7/17,High
AMILORIDE HCL 5 MG TABLET,49884011701, $0.48 ,5/17/17,EA,N,G,6/7/17,Low
AMILORIDE HCL-HYDROCHLOROTHIAZIDE 5-50 MG TAB,378057701, $0.38 ,5/17/17,EA,N,G,6/7/17,Low
